Date,Open,High,Low,Close ,Adj Close ,Volume
23-Nov-21,389.17,393.5,354.23,369.68,369.68,"108,515,100"
22-Nov-21,387.44,400.65,377.48,385.62,385.62,"99,217,500"
19-Nov-21,366.29,379.57,364.23,379.02,379.02,"64,926,900"
18-Nov-21,368.85,370.67,358.34,365.46,365.46,"62,696,700"
17-Nov-21,354.5,373.21,351.83,363,363,"94,336,200"
16-Nov-21,334.44,352.4,334.06,351.58,351.58,"79,627,200"
15-Nov-21,339.21,343.99,326.2,337.8,337.8,"104,326,800"
12-Nov-21,349.17,351.5,339.73,344.47,344.47,"76,719,300"
11-Nov-21,367.59,368.32,351.56,354.5,354.5,"67,189,800"
10-Nov-21,336.8,359.37,329.1,355.98,355.98,"128,408,100"
9-Nov-21,391.2,391.5,337.17,341.17,341.17,"177,317,400"
8-Nov-21,383.26,399,377.67,387.65,387.65,"100,337,100"
5-Nov-21,409.33,413.29,402.67,407.36,407.36,"64,886,400"
4-Nov-21,411.47,414.5,405.67,409.97,409.97,"76,192,200"
3-Nov-21,392.44,405.13,384.21,404.62,404.62,"103,885,500"
2-Nov-21,386.45,402.86,382,390.67,390.67,"128,213,400"
1-Nov-21,381.67,403.25,372.89,402.86,402.86,"168,146,100"
29-Oct-21,360.62,371.74,357.74,371.33,371.33,"89,755,200"
28-Oct-21,356.1,360.33,351.4,359.01,359.01,"81,639,600"
27-Oct-21,346.55,356.96,343.59,345.95,345.95,"115,579,500"
26-Oct-21,341.56,364.98,333.81,339.48,339.48,"187,245,000"
25-Oct-21,316.84,348.34,314.73,341.62,341.62,"188,556,300"
22-Oct-21,298.5,303.33,296.99,303.23,303.23,"68,642,400"
21-Oct-21,285.33,300,285.17,298,298,"94,444,500"
20-Oct-21,288.45,289.83,285.79,288.6,288.6,"42,096,300"
19-Oct-21,292.51,292.65,287.5,288.09,288.09,"52,143,300"
18-Oct-21,283.93,291.75,283.82,290.04,290.04,"72,621,600"
15-Oct-21,274.58,281.07,274.12,281.01,281.01,"56,773,800"
14-Oct-21,271.83,273.42,271.12,272.77,272.77,"36,741,600"
13-Oct-21,270.16,271.8,268.59,270.36,270.36,"42,360,300"
12-Oct-21,266.98,270.77,265.52,268.57,268.57,"66,060,000"
11-Oct-21,262.55,267.08,261.83,263.98,263.98,"42,600,900"
8-Oct-21,265.4,265.46,260.3,261.83,261.83,"50,215,800"
7-Oct-21,261.82,268.33,261.13,264.54,264.54,"57,587,400"
6-Oct-21,258.73,262.22,257.74,260.92,260.92,"43,898,400"
5-Oct-21,261.6,265.77,258.07,260.2,260.2,"55,297,800"
4-Oct-21,265.5,268.99,258.71,260.51,260.51,"91,449,900"
1-Oct-21,259.47,260.26,254.53,258.41,258.41,"51,094,200"
30-Sep-21,260.33,263.04,258.33,258.49,258.49,"53,868,000"
